score				node
22188.440116		185
21117.972934		521
19395.090931		2665
17117.972934		1439
4391.236511		2439
4301.275041		2438
4202.326945		169
4151.829954		1057
4151.760896		168
4117.723447		2483
323.617449		1020
319.913484		1447
309.502726		976
298.248089		1707
289.170333		907
288.488943		1064
287.757810		2656
287.220017		2586
285.436640		2044
284.779969		716
284.391694		2363
284.298832		1446
281.743025		320
278.716364		323
277.398384		1323
276.079929		1364
274.983716		2098
274.580955		1519
274.459438		2354
270.317713		830
264.582681		1065
263.981557		64
263.585788		1130
263.350542		2352
263.142974		637
260.901485		2407
259.776735		1516
257.590992		1701
257.489076		650
256.971937		1405
256.963857		29
256.100680		950
255.691634		2353
255.631486		2099
255.481370		1303
254.216868		2211
253.852688		395
253.284391		2235
253.102345		1932
252.330336		850
251.395106		901
251.244712		2234
251.032601		2655
250.617481		1591
250.275609		578
250.238256		682
249.507009		659
249.375726		2402
248.427169		2697
248.377451		1942
247.724770		649
246.754360		1137
246.290780		2650
246.209643		856
245.264186		425
243.959644		2504
243.907025		1745
243.539159		2293
242.706116		2266
242.076152		2585
241.877152		352
240.889204		78
240.682302		1817
239.973231		2507
238.741712		2112
238.207752		1494
238.095490		1565
237.935030		1038
237.501387		1325
237.300622		261
237.048280		1561
236.662265		1498
236.655117		1398
236.368507		1007
236.357468		1061
235.346630		2436
235.009386		2339
234.831607		1787
234.209704		1301
233.801584		2043
233.677622		1992
232.994258		2083
232.729700		19
232.289079		2509
232.172354		182
231.864224		2258
231.781736		1453
231.616613		1939
231.557796		91
231.266392		2172
230.594004		2574
230.264931		2512
229.892257		80
229.761822		1206
229.692037		795
229.591584		559
229.481183		962
229.321443		2373
229.144844		1616
228.970961		989
228.729736		1551
228.723212		2171
228.704807		2117
228.425959		758
228.272095		894
228.203565		2469
228.086529		283
227.742729		1467
227.723077		2168
227.375536		2107
227.365744		1775
227.272397		2403
226.976527		1427
226.546785		2232
226.460975		2292
226.456425		1774
226.282392		1054
226.024014		1138
225.818058		1997
225.777499		1457
225.538126		1204
225.239607		511
225.226428		1458
225.101139		748
224.939964		943
224.842561		1515
224.688447		2355
224.539358		1938
224.387179		1393
